# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.99522 -0.586555 0.186442
2000 2.0088 -0.613215 0.185514
3000 2.04615 -0.598473 0.186908
4000 1.96918 -0.572399 0.187162
5000 1.93814 -0.610898 0.175634
6000 2.06332 -0.564598 0.197609
7000 2.01108 -0.59948 0.179921
8000 2.01613 -0.569283 0.196313
9000 1.98261 -0.560899 0.182359
10000 2.08544 -0.628143 0.193284
11000 1.9536 -0.606439 0.182159
12000 2.02253 -0.598796 0.192268
13000 2.04675 -0.631905 0.193206
14000 1.92401 -0.614549 0.171679
15000 1.99224 -0.633044 0.179369
16000 2.03487 -0.612666 0.193265
17000 1.94699 -0.605366 0.179739
18000 2.04335 -0.604013 0.188935
19000 2.03177 -0.557602 0.193365
20000 1.99846 -0.576573 0.189631
21000 1.97458 -0.584546 0.184484
22000 1.91986 -0.594511 0.178043
23000 2.07133 -0.548585 0.198908
24000 2.00175 -0.609611 0.18504
25000 1.92748 -0.59924 0.179902
26000 2.02432 -0.599255 0.191664
27000 1.99348 -0.600199 0.187085
28000 2.04734 -0.62265 0.189143
29000 1.95898 -0.59811 0.182426
30000 2.07472 -0.601161 0.19996
31000 2.03119 -0.639574 0.192025
32000 1.92817 -0.612529 0.17782
33000 1.94361 -0.645148 0.178736
34000 2.04367 -0.644295 0.190398
35000 2.04511 -0.574234 0.188521
36000 2.05406 -0.62038 0.192526
37000 2.01152 -0.616371 0.187144
38000 2.01209 -0.633854 0.184606
39000 1.96611 -0.621112 0.183939
40000 1.9938 -0.602359 0.193362
41000 1.96154 -0.624413 0.179002
42000 1.9873 -0.651579 0.181734
43000 1.97785 -0.662047 0.180015
44000 2.03026 -0.614041 0.187216
45000 1.9707 -0.587481 0.173431
46000 2.02257 -0.594717 0.192556
47000 2.02088 -0.609077 0.188925
48000 2.02658 -0.583618 0.185044
49000 1.92544 -0.63216 0.177342
50000 2.04883 -0.642968 0.185272
51000 1.97433 -0.61579 0.190456
52000 1.98885 -0.549396 0.186162
53000 2.01315 -0.636719 0.181828
54000 2.00654 -0.667118 0.186417
55000 1.978 -0.626395 0.187789
56000 1.9779 -0.597766 0.18567
57000 2.00032 -0.583859 0.185209
58000 1.9937 -0.633074 0.184291
59000 2.0669 -0.600099 0.195113
60000 1.95857 -0.594056 0.17852
61000 2.02721 -0.584223 0.192519
62000 1.98705 -0.559229 0.180089
63000 1.97834 -0.603989 0.187798
64000 2.03405 -0.612078 0.190241
65000 1.93141 -0.60719 0.186973
66000 2.06066 -0.615816 0.188936
67000 2.02849 -0.600907 0.189632
68000 2.04155 -0.631508 0.192433
69000 2.01579 -0.600145 0.184944
70000 2.00761 -0.61897 0.184468
71000 1.99161 -0.626889 0.18225
72000 2.02753 -0.578832 0.194048
73000 2.02497 -0.616754 0.189128
74000 1.90832 -0.630057 0.174298
75000 1.99815 -0.640949 0.181194
76000 1.96819 -0.560302 0.184108
77000 2.02342 -0.660338 0.185384
78000 1.97987 -0.629644 0.183286
79000 2.02706 -0.600977 0.190619
80000 1.99197 -0.620824 0.185065
81000 2.02857 -0.582955 0.195938
82000 2.03419 -0.637228 0.184602
83000 1.94532 -0.591343 0.190211
84000 2.01722 -0.595682 0.190986
85000 1.99753 -0.569814 0.186398
86000 2.06969 -0.656398 0.189689
87000 2.05707 -0.570606 0.201551
88000 1.97305 -0.614577 0.179119
89000 1.94889 -0.585975 0.181911
90000 1.93853 -0.623045 0.181685
91000 1.95928 -0.600597 0.186942
92000 2.03193 -0.631055 0.191603
93000 2.01345 -0.597841 0.186621
94000 2.01768 -0.641032 0.183431
95000 2.01848 -0.592662 0.183738
96000 1.94093 -0.607031 0.179255
97000 2.01843 -0.590939 0.186881
98000 2.08062 -0.581902 0.199571
99000 1.98053 -0.619149 0.179161
100000 1.93587 -0.612447 0.181386
101000 1.98445 -0.645355 0.173781
102000 1.95932 -0.609536 0.179268
103000 2.04583 -0.623998 0.18721
104000 1.98352 -0.601574 0.186744
105000 1.98073 -0.641149 0.190742
106000 1.96419 -0.63346 0.178468
107000 1.99838 -0.605442 0.187917
108000 1.9815 -0.552786 0.189523
109000 1.96058 -0.573311 0.181047
110000 2.01546 -0.568111 0.189368
111000 1.99389 -0.604398 0.189889
112000 2.0235 -0.631182 0.192643
113000 1.96419 -0.656246 0.179486
114000 1.99373 -0.605685 0.181737
115000 2.00088 -0.614055 0.188123
116000 2.02729 -0.583857 0.194403
117000 2.00762 -0.598326 0.186757
118000 1.9684 -0.601654 0.180945
119000 2.00316 -0.620536 0.186333
120000 2.00245 -0.618998 0.183281
121000 2.05083 -0.632295 0.191309
122000 1.97882 -0.60449 0.179395
123000 1.97238 -0.588578 0.190505
124000 2.0331 -0.602074 0.194872
125000 2.00126 -0.583211 0.190408
126000 1.98492 -0.609531 0.187366
127000 2.07583 -0.579848 0.197001
128000 1.95579 -0.600387 0.178294
129000 1.99433 -0.579139 0.189123
130000 1.98176 -0.598555 0.189441
131000 2.0424 -0.549064 0.194234
132000 1.99236 -0.576322 0.186435
133000 2.00285 -0.623578 0.183045
134000 1.93303 -0.633224 0.180068
135000 1.99709 -0.66009 0.181879
136000 1.98583 -0.586696 0.184985
137000 1.9414 -0.609719 0.173894
138000 2.05854 -0.576078 0.193519
139000 1.96264 -0.594639 0.185881
140000 2.00013 -0.583792 0.184969
141000 1.98304 -0.648434 0.184791
142000 2.04496 -0.595521 0.191299
143000 2.03359 -0.584841 0.184677
144000 2.02372 -0.590022 0.185613
145000 2.02675 -0.59467 0.188832
146000 1.97877 -0.586356 0.189764
147000 2.06844 -0.586906 0.188225
148000 2.03404 -0.631781 0.184933
149000 2.02362 -0.591337 0.192584
150000 1.95595 -0.602955 0.183769
151000 2.07309 -0.616125 0.1953
152000 1.96392 -0.619675 0.177799
153000 2.02853 -0.591312 0.181858
154000 1.93991 -0.631095 0.181552
155000 2.05987 -0.673614 0.189468
156000 1.94349 -0.584381 0.182314
157000 1.97681 -0.615991 0.181748
158000 1.94735 -0.603382 0.176953
159000 1.9959 -0.599962 0.188438
160000 2.00163 -0.586831 0.185672
161000 2.05673 -0.598732 0.186162
162000 1.97531 -0.595051 0.183294
163000 2.04862 -0.563687 0.195455
164000 1.92146 -0.624364 0.179783
165000 1.99802 -0.559114 0.192552
166000 1.95195 -0.618447 0.178502
167000 1.97872 -0.600417 0.190498
168000 2.01283 -0.600477 0.185632
169000 1.9954 -0.577249 0.185937
170000 1.97495 -0.61867 0.186444
171000 1.93086 -0.63429 0.172316
172000 2.04482 -0.614839 0.189214
173000 1.96015 -0.599076 0.187365
174000 2.02031 -0.601313 0.19138
175000 2.01949 -0.564301 0.191255
176000 2.02153 -0.565126 0.192773
177000 2.00614 -0.609863 0.185641
178000 2.00342 -0.657035 0.182243
179000 2.04156 -0.621255 0.190808
180000 2.01324 -0.573276 0.18615
181000 2.03036 -0.610383 0.189508
182000 1.99185 -0.595205 0.183822
183000 2.09196 -0.563055 0.203627
184000 1.93135 -0.613997 0.177442
185000 2.04614 -0.613126 0.194177
186000 2.02486 -0.621644 0.187414
187000 2.00322 -0.55355 0.194234
188000 2.0538 -0.593814 0.189107
189000 1.90902 -0.627808 0.171738
190000 2.02748 -0.576147 0.193796
191000 1.98112 -0.620063 0.182873
192000 1.96491 -0.626298 0.182209
193000 2.00351 -0.580186 0.178717
194000 1.94362 -0.638373 0.179502
195000 2.03243 -0.619307 0.190656
196000 1.98329 -0.637022 0.177671
197000 2.04573 -0.598889 0.199777
198000 1.98581 -0.601517 0.177312
199000 2.02301 -0.629719 0.184962
200000 1.99775 -0.609902 0.187736
201000 2.00637 -0.596162 0.188481
202000 2.01813 -0.586858 0.19292
203000 1.99097 -0.597305 0.186446
204000 1.98743 -0.608498 0.188871
205000 2.05124 -0.561225 0.197057
206000 1.96394 -0.625096 0.174819
207000 1.9976 -0.591337 0.186462
208000 1.97886 -0.61454 0.180135
209000 1.93999 -0.63354 0.18044
210000 1.99708 -0.615887 0.191021
211000 2.04113 -0.666875 0.190228
212000 1.97885 -0.649294 0.183425
213000 1.973 -0.578072 0.188995
214000 1.96872 -0.571552 0.178341
215000 1.99609 -0.650488 0.18575
216000 2.02542 -0.582142 0.19284
217000 1.9619 -0.618409 0.180584
218000 2.01108 -0.638607 0.183346
219000 2.03 -0.657736 0.181163
220000 2.01905 -0.596565 0.189625
221000 2.03195 -0.582029 0.19653
222000 2.01189 -0.624818 0.180351
223000 2.04249 -0.601313 0.190339
224000 2.0193 -0.576977 0.188024
225000 1.9182 -0.568493 0.175302
226000 2.086 -0.637057 0.188171
227000 2.02079 -0.547956 0.189735
228000 2.02188 -0.581004 0.191127
229000 1.99195 -0.568774 0.185733
230000 1.99121 -0.55982 0.191417
231000 1.96336 -0.614218 0.183679
232000 2.0204 -0.584835 0.18955
233000 2.0624 -0.624762 0.192772
234000 2.01808 -0.634127 0.188819
235000 2.04533 -0.647873 0.187952
236000 2.03927 -0.626894 0.189242
237000 1.92909 -0.626103 0.174374
238000 2.01694 -0.582808 0.19225
239000 1.98497 -0.605583 0.183523
240000 2.01155 -0.595849 0.186572
241000 1.98436 -0.610636 0.17991
242000 2.10087 -0.602683 0.197639
243000 2.02981 -0.619233 0.182297
244000 1.97864 -0.678987 0.176075
245000 2.02833 -0.65 0.188283
246000 1.98528 -0.625162 0.184422
247000 2.03076 -0.642265 0.19466
248000 2.04585 -0.595504 0.189274
249000 1.98782 -0.611112 0.184961
250000 1.97604 -0.629306 0.185151
251000 1.98999 -0.620244 0.183661
252000 2.00626 -0.631762 0.186573
253000 1.98774 -0.623423 0.189236
254000 2.00597 -0.610182 0.180839
255000 1.96993 -0.606142 0.185194
256000 2.00582 -0.578016 0.189127
257000 2.01898 -0.612151 0.190633
258000 1.99808 -0.598422 0.177804
259000 2.00723 -0.62104 0.187171
260000 2.03574 -0.590852 0.193199
261000 1.93437 -0.609156 0.177299
262000 2.05975 -0.638833 0.191553
