# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 2.82219 -0.549785 0.283889
2000 3.01125 -0.566324 0.295736
3000 3.05925 -0.523074 0.307657
4000 2.94429 -0.512066 0.29817
5000 2.98728 -0.515201 0.299626
6000 3.03588 -0.530446 0.317475
7000 3.05536 -0.551204 0.311245
8000 2.95932 -0.515661 0.297799
9000 3.05794 -0.535854 0.31283
10000 2.98849 -0.531368 0.306277
11000 2.93806 -0.47418 0.307535
12000 3.03713 -0.517359 0.313472
13000 2.97476 -0.551797 0.296603
14000 2.98338 -0.572475 0.300177
15000 2.9788 -0.518434 0.304166
16000 2.99843 -0.568418 0.299194
17000 3.0167 -0.58035 0.302399
18000 2.92404 -0.539373 0.291655
19000 2.98896 -0.519208 0.310755
20000 2.93906 -0.546518 0.287463
21000 3.09716 -0.556613 0.312398
22000 3.02574 -0.539428 0.308129
23000 2.98274 -0.528492 0.309486
24000 3.00503 -0.509447 0.31363
25000 2.97604 -0.513867 0.302913
26000 3.06827 -0.551643 0.307986
27000 2.9491 -0.52825 0.292542
28000 3.01374 -0.539913 0.304125
29000 3.03819 -0.54358 0.309719
30000 2.9328 -0.526003 0.294257
31000 2.98932 -0.51936 0.308997
32000 3.05285 -0.565689 0.316797
33000 2.97169 -0.52158 0.302808
34000 2.94901 -0.552598 0.300826
35000 2.92075 -0.525019 0.298071
36000 3.0287 -0.551727 0.307175
37000 2.97493 -0.501091 0.300979
38000 3.00987 -0.518978 0.3131
39000 3.0739 -0.528574 0.316668
40000 3.03652 -0.516596 0.306668
41000 2.88841 -0.525597 0.292477
42000 3.06916 -0.526991 0.310893
43000 2.90589 -0.532643 0.292442
44000 3.04956 -0.543807 0.309513
45000 2.95869 -0.544177 0.302257
46000 3.0118 -0.537221 0.316331
47000 2.96862 -0.53121 0.302251
48000 3.00284 -0.528359 0.301231
49000 2.94684 -0.558564 0.294987
50000 2.962 -0.551399 0.296498
51000 3.08807 -0.541246 0.315496
52000 3.03797 -0.522022 0.305081
53000 2.99237 -0.513244 0.306184
54000 2.9814 -0.539033 0.297783
55000 3.04175 -0.516029 0.303333
56000 2.95251 -0.524991 0.299748
57000 2.9428 -0.51384 0.303646
58000 3.09578 -0.525179 0.326948
59000 3.02673 -0.52007 0.310049
60000 2.94699 -0.510255 0.295907
61000 2.98098 -0.555084 0.305768
62000 2.97552 -0.536705 0.303125
63000 2.91507 -0.540536 0.298299
64000 2.99648 -0.538776 0.303592
65000 3.0124 -0.5418 0.300976
