# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 4.36817 -0.00416941 0.00432707
2000 5.0219 -0.00388103 0.00497197
3000 5.03554 -0.00382007 0.00498654
4000 5.02165 -0.00521037 0.00497741
5000 5.06776 -0.00313659 0.00501496
6000 5.00365 -3.47371e-05 0.00498149
7000 5.0662 -0.00407747 0.00502023
8000 4.92648 0.00149583 0.00490457
9000 5.02637 -0.00703816 0.00497413
10000 5.17222 -0.00442032 0.00512325
11000 5.00105 -0.00457209 0.00495264
12000 5.03779 -0.0070246 0.00498973
13000 5.05695 -0.00721709 0.00500415
14000 5.0669 -0.00530615 0.00500856
15000 5.01008 -0.00596414 0.00496046
16000 5.08039 -0.00484875 0.00503138
17000 5.00748 -0.0120038 0.00497238
18000 5.07474 -0.0100177 0.00503113
19000 4.9052 -0.0121712 0.00485128
20000 4.94213 -0.0121175 0.00488791
21000 4.96395 -0.0122677 0.0049112
22000 5.07553 -0.0105821 0.00503186
23000 4.96184 -0.0104576 0.00491614
24000 4.95487 -0.0108109 0.00490096
25000 4.92339 -0.0149554 0.00487104
26000 5.08115 -0.0139516 0.00502759
27000 5.06024 -0.0126037 0.0050052
28000 5.00677 -0.0172989 0.00495365
29000 5.02252 -0.0141614 0.00496304
30000 5.08833 -0.00515932 0.00503322
31000 5.02456 -0.00489268 0.00498074
32000 4.85704 -0.00403588 0.00480937
33000 5.00583 -0.00614085 0.00495699
34000 5.08629 -0.00370573 0.00504202
35000 5.02807 -0.00531302 0.00497433
36000 4.89077 -0.00384534 0.00484336
37000 5.09316 -0.00254016 0.00504469
38000 5.07294 -0.00570528 0.00502896
39000 4.96526 -0.00664812 0.00491698
40000 5.00037 0.000917175 0.0049762
41000 5.22099 -0.00893151 0.00516488
42000 4.92814 -0.00478153 0.0048746
43000 4.89558 0.000718695 0.00486851
44000 5.09403 -0.00666049 0.00503911
45000 4.84964 -0.00485306 0.0047999
46000 5.11235 -0.00282669 0.00507108
47000 5.06398 -0.0071984 0.0050108
48000 4.99588 -0.00547726 0.00495416
49000 4.9133 -0.00567689 0.00486661
50000 5.1848 -0.00533126 0.005129
51000 5.01045 -0.00234657 0.0049722
52000 4.92995 -0.00795795 0.00487568
53000 4.91712 -0.00442788 0.00486869
54000 5.02447 -0.00181796 0.00498613
55000 5.01153 -0.00381898 0.00496279
56000 5.00254 -0.00570026 0.0049507
57000 5.01889 -0.00701731 0.00496142
58000 4.92337 -0.00457639 0.00487308
59000 5.06161 -0.00728575 0.00500752
60000 4.94166 -0.00288919 0.00489424
