# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.70399 -0.0689804 0.0165152
2000 1.67171 -0.0733967 0.0161811
3000 1.65986 -0.0678157 0.0160111
4000 1.67839 -0.0740244 0.0163394
5000 1.75418 -0.069555 0.0171575
6000 1.65357 -0.0836738 0.016002
7000 1.76387 -0.0648904 0.0174183
8000 1.62897 -0.0695255 0.0158481
9000 1.71689 -0.0859959 0.0166145
10000 1.67576 -0.0820896 0.016274
11000 1.72279 -0.0640909 0.0168823
12000 1.74707 -0.0783446 0.0170463
13000 1.64474 -0.0782247 0.0159528
14000 1.72752 -0.0828534 0.0168012
15000 1.71629 -0.0889046 0.0164994
16000 1.6586 -0.0781706 0.0159984
17000 1.7342 -0.062068 0.0170563
18000 1.73025 -0.0605505 0.0170599
19000 1.71989 -0.0568306 0.0168391
20000 1.67632 -0.0571846 0.0163115
21000 1.6985 -0.06065 0.0166241
22000 1.70312 -0.0669355 0.0165571
23000 1.70175 -0.059762 0.0167003
24000 1.6782 -0.0728575 0.0162797
25000 1.65155 -0.0725332 0.01618
26000 1.72467 -0.0689159 0.0170382
27000 1.75218 -0.0712084 0.0171321
28000 1.68027 -0.0729922 0.0163405
29000 1.72206 -0.0642152 0.0167466
30000 1.67279 -0.0748462 0.0163463
31000 1.73057 -0.0718451 0.0169299
32000 1.71092 -0.0613813 0.0167533
33000 1.69923 -0.0786933 0.0164493
34000 1.63353 -0.0775293 0.0158947
35000 1.71678 -0.0713122 0.0166708
36000 1.70113 -0.0578888 0.0167538
37000 1.72854 -0.047379 0.0170264
38000 1.67788 -0.0568954 0.0167084
39000 1.68544 -0.0480159 0.0164502
40000 1.67807 -0.0536414 0.0165318
41000 1.73517 -0.0547601 0.0170295
42000 1.67787 -0.0649394 0.0163518
43000 1.71134 -0.05131 0.0170017
44000 1.67177 -0.0716109 0.0163311
45000 1.70456 -0.0676932 0.0165657
46000 1.71095 -0.0595404 0.0167213
47000 1.72397 -0.0864132 0.0167692
48000 1.71329 -0.0708271 0.0165729
49000 1.72842 -0.0788788 0.0167215
50000 1.65784 -0.0619205 0.0162225
51000 1.72277 -0.0884297 0.0167389
52000 1.72143 -0.0763783 0.0168611
53000 1.66243 -0.0735891 0.016397
54000 1.68204 -0.0745097 0.0163983
55000 1.67575 -0.0824553 0.016351
56000 1.67606 -0.0950013 0.0161437
57000 1.75226 -0.0668682 0.0171863
58000 1.69083 -0.0643111 0.0163568
59000 1.69881 -0.0615397 0.0166809
60000 1.68136 -0.0418515 0.0165669
61000 1.70365 -0.059066 0.0168165
62000 1.71025 -0.0566651 0.0167708
63000 1.67412 -0.0784917 0.016515
64000 1.67401 -0.0908943 0.016188
65000 1.72808 -0.0710653 0.0168243
66000 1.72057 -0.0560815 0.0168148
67000 1.66282 -0.0500134 0.0163126
68000 1.76219 -0.0791469 0.0172733
69000 1.66388 -0.101457 0.016122
70000 1.72521 -0.0746576 0.0169634
71000 1.69305 -0.0647305 0.0164998
72000 1.63796 -0.0865855 0.0161904
73000 1.72675 -0.062949 0.0169121
74000 1.66813 -0.0616587 0.0165085
75000 1.70443 -0.0600905 0.0167535
76000 1.67783 -0.0599704 0.0164651
77000 1.75117 -0.0554128 0.0171789
78000 1.69531 -0.0696125 0.0164336
79000 1.66352 -0.0867795 0.0162835
80000 1.69509 -0.0729686 0.0166284
81000 1.74346 -0.0674866 0.0171077
82000 1.70443 -0.0778168 0.0164931
83000 1.67856 -0.0657822 0.0163619
84000 1.70717 -0.0508647 0.016738
85000 1.6819 -0.0568936 0.0165761
86000 1.69523 -0.0786847 0.0166315
87000 1.71489 -0.075088 0.0166931
88000 1.73461 -0.0565274 0.0167832
89000 1.64524 -0.0589645 0.0162413
90000 1.71508 -0.0617816 0.0167451
91000 1.73681 -0.0711494 0.017004
92000 1.66713 -0.0658671 0.0163913
93000 1.63541 -0.0636684 0.0160619
94000 1.66605 -0.0697844 0.0162623
95000 1.7276 -0.0667794 0.0170537
96000 1.69429 -0.0668329 0.0167284
97000 1.70354 -0.0928362 0.0164369
98000 1.70539 -0.0657744 0.0165987
99000 1.64762 -0.062479 0.0163242
100000 1.68212 -0.0716212 0.0165082
101000 1.69775 -0.0708897 0.0166153
102000 1.67858 -0.066186 0.0165152
103000 1.65893 -0.0673617 0.0164299
104000 1.69774 -0.0765205 0.01642
105000 1.69631 -0.0658944 0.0165627
106000 1.68018 -0.0594856 0.0164446
107000 1.76189 -0.0660491 0.0172332
108000 1.67121 -0.0472726 0.0163303
109000 1.72616 -0.0467264 0.0169104
110000 1.70265 -0.0566385 0.0167117
111000 1.70625 -0.0580002 0.0166281
112000 1.71151 -0.0547159 0.0168692
113000 1.69774 -0.0628065 0.0166138
114000 1.69796 -0.0536101 0.0165591
115000 1.68995 -0.0714379 0.0165504
116000 1.68873 -0.0598489 0.0164743
117000 1.72864 -0.0727703 0.0169241
118000 1.69698 -0.0901441 0.0162965
119000 1.65816 -0.058638 0.0162845
120000 1.72488 -0.066219 0.0166269
121000 1.70769 -0.0453693 0.0167756
122000 1.70761 -0.04426 0.0168473
123000 1.69239 -0.0628698 0.0165115
124000 1.66695 -0.0417437 0.0164035
125000 1.70913 -0.0505261 0.0167677
126000 1.65125 -0.0647957 0.0159036
127000 1.69039 -0.0607803 0.0164542
128000 1.7376 -0.0534842 0.0168502
129000 1.70061 -0.0475992 0.0166416
130000 1.70287 -0.0564494 0.0166222
131000 1.70318 -0.0565353 0.0167428
132000 1.7511 -0.0552388 0.0172581
133000 1.63903 -0.0748238 0.0157371
134000 1.73484 -0.0745368 0.017058
135000 1.67538 -0.0546008 0.0163745
136000 1.67839 -0.0577532 0.016495
137000 1.70074 -0.0570437 0.0165903
138000 1.77319 -0.0629743 0.0173485
139000 1.65344 -0.053985 0.0164158
140000 1.74605 -0.053345 0.0170506
141000 1.66292 -0.0664673 0.0162961
