# N = 100
# rho = 0.100
# cutoff = 3.5
# Temperature PotentialEnergy Pressure
+7.5052E-01 +1.8554E-04 -2.4439E+00 +1.6432E-02 +1.0576E-02 +1.4838E-04 
+8.0009E-01 +5.2349E-04 -2.0453E+00 +1.0810E-02 +1.6350E-02 +1.9199E-04 
+8.5051E-01 +4.2614E-04 -1.5479E+00 +1.9539E-02 +2.5705E-02 +2.8215E-04 
+9.0109E-01 +4.4726E-04 -1.2186E+00 +1.7286E-02 +3.6311E-02 +3.5556E-04 
+9.4944E-01 +4.0272E-04 -1.0321E+00 +1.0709E-02 +4.5624E-02 +3.1081E-04 
+9.9999E-01 +4.7090E-04 -9.3661E-01 +4.3309E-03 +5.3795E-02 +1.4178E-04 
+1.0997E+00 +4.1641E-04 -8.4916E-01 +1.9198E-03 +6.7925E-02 +1.0685E-04 
+1.1998E+00 +4.4588E-04 -7.9931E-01 +1.6795E-03 +8.0987E-02 +8.4410E-05 
+1.3005E+00 +8.1748E-04 -7.6006E-01 +1.3314E-03 +9.3967E-02 +1.4541E-04 
+1.4001E+00 +3.8046E-04 -7.3174E-01 +1.7247E-03 +1.0658E-01 +1.3530E-04 
+1.4992E+00 +7.0377E-04 -7.0920E-01 +1.5523E-03 +1.1883E-01 +1.4121E-04 
+1.5997E+00 +8.0625E-04 -6.9207E-01 +9.1018E-04 +1.3113E-01 +1.1728E-04 
+1.6991E+00 +6.3499E-04 -6.7640E-01 +1.6638E-03 +1.4323E-01 +1.5470E-04 
+1.7995E+00 +9.1984E-04 -6.6311E-01 +1.1728E-03 +1.5556E-01 +2.0689E-04 
+1.8999E+00 +9.5793E-04 -6.5066E-01 +8.9574E-04 +1.6786E-01 +1.2969E-04 
+1.9997E+00 +8.1061E-04 -6.4049E-01 +1.0430E-03 +1.7979E-01 +1.0552E-04 
+2.9987E+00 +1.1011E-03 -5.7020E-01 +5.8622E-04 +2.9852E-01 +2.1762E-04 
+4.0018E+00 +1.5686E-03 -5.2434E-01 +3.5637E-04 +4.1565E-01 +2.5609E-04 
+5.0003E+00 +2.0078E-03 -4.8676E-01 +5.6110E-04 +5.3171E-01 +2.9443E-04 
