# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.1226 -0.914127 0.0649661
2000 1.09737 -0.793951 0.0642038
3000 1.1005 -0.796513 0.0675249
4000 1.0817 -0.846798 0.0562331
5000 1.07386 -0.837197 0.0623243
6000 1.05977 -0.9142 0.0598422
7000 1.11574 -0.827261 0.0704993
8000 1.06779 -0.887866 0.0649054
9000 1.12661 -0.929441 0.0660435
10000 1.09547 -0.893546 0.0648786
11000 1.1241 -0.99743 0.0616987
12000 1.06474 -0.932598 0.063945
13000 1.1058 -0.828978 0.0664793
14000 1.09435 -0.950153 0.060439
15000 1.09774 -0.856031 0.0678912
16000 1.0714 -0.924703 0.0578292
17000 1.12303 -0.806499 0.0739147
18000 1.08385 -0.828313 0.0628973
19000 1.08702 -0.802929 0.0704209
20000 1.07817 -0.739521 0.0672322
21000 1.09 -0.778629 0.0692723
22000 1.06009 -0.844069 0.0617912
23000 1.06755 -0.745717 0.0627561
24000 1.13724 -0.705171 0.0810296
25000 1.13548 -0.839574 0.0716738
26000 1.08922 -0.829333 0.0618239
27000 1.10211 -0.864655 0.0670948
28000 1.09313 -0.804476 0.064952
29000 1.10202 -0.835364 0.0627372
30000 1.08676 -0.851506 0.06167
31000 1.09604 -0.804396 0.0631913
32000 1.1054 -0.817484 0.0633895
33000 1.12618 -0.927762 0.0662318
34000 1.10631 -1.01173 0.0570102
35000 1.09855 -1.03474 0.0617369
36000 1.07465 -1.01799 0.0610118
37000 1.08072 -0.890922 0.0615431
38000 1.10215 -0.904928 0.0624107
39000 1.09773 -0.898017 0.0644642
40000 1.10371 -0.918531 0.067495
41000 1.07608 -0.975567 0.0553709
42000 1.11958 -0.905353 0.0631474
43000 1.088 -0.890689 0.0617415
44000 1.07483 -0.92926 0.0613739
45000 1.07778 -0.848412 0.0639896
46000 1.09974 -0.868697 0.0638424
47000 1.11438 -0.906242 0.0653407
48000 1.07105 -0.882812 0.0625715
49000 1.09504 -0.878802 0.0615336
50000 1.13314 -0.819544 0.0731929
51000 1.08887 -0.861375 0.0629533
52000 1.10276 -0.911525 0.0641278
53000 1.09725 -0.829748 0.0697251
54000 1.10306 -0.814206 0.0637281
55000 1.10812 -0.827701 0.0630688
56000 1.0695 -0.844911 0.0615187
57000 1.08181 -0.907708 0.0600751
58000 1.10085 -0.913406 0.0649238
59000 1.10444 -1.01598 0.0624039
60000 1.0757 -1.00724 0.0569833
61000 1.10861 -0.891892 0.0681711
62000 1.08469 -0.784324 0.0584826
63000 1.12136 -0.764553 0.0689378
64000 1.04601 -0.837273 0.0557666
65000 1.10157 -0.817562 0.0655871
66000 1.07378 -0.844053 0.0609703
67000 1.09388 -0.862574 0.0608186
68000 1.0812 -0.851898 0.0617764
69000 1.11348 -0.793788 0.0704109
70000 1.12788 -0.786508 0.0704765
71000 1.11335 -0.842187 0.0705676
72000 1.08161 -0.918061 0.0605576
73000 1.08273 -0.994956 0.0543115
74000 1.0942 -0.857718 0.0674608
75000 1.11482 -0.866349 0.067526
76000 1.06628 -0.959441 0.0601099
77000 1.09417 -0.810664 0.0665049
78000 1.12305 -0.854547 0.0693853
79000 1.10405 -0.814248 0.0660164
80000 1.11501 -0.854147 0.0639374
81000 1.10422 -0.823376 0.0617601
82000 1.07671 -0.837165 0.0621171
83000 1.07191 -0.790086 0.0651891
84000 1.07342 -0.941023 0.0672188
85000 1.0951 -0.820248 0.070206
86000 1.08347 -0.764838 0.0656569
87000 1.07085 -0.865574 0.0660323
88000 1.09614 -0.816085 0.0665179
89000 1.07985 -0.817362 0.0657072
90000 1.09026 -0.861026 0.0570767
91000 1.09796 -0.797157 0.0699997
92000 1.08646 -0.90334 0.0605336
93000 1.08193 -0.926385 0.0614816
94000 1.12549 -0.824361 0.0668819
95000 1.07345 -0.764277 0.0690948
96000 1.13558 -0.783018 0.0708863
97000 1.11346 -0.872263 0.0652894
98000 1.10202 -0.819379 0.0645412
99000 1.07527 -0.914651 0.0622625
100000 1.09515 -0.972246 0.0669188
101000 1.1329 -0.885578 0.0660705
102000 1.08252 -0.892347 0.060711
103000 1.10016 -0.904045 0.0629843
104000 1.13948 -0.731934 0.0692312
105000 1.09033 -0.794066 0.0682015
106000 1.14305 -0.8413 0.0672457
107000 1.0814 -0.865683 0.0668929
108000 1.09306 -0.923548 0.0640249
109000 1.12267 -0.916574 0.0635083
110000 1.14529 -0.801707 0.0745716
111000 1.09245 -0.806465 0.0643013
112000 1.10305 -0.880279 0.065968
113000 1.06969 -0.962788 0.0614662
114000 1.08622 -0.948824 0.0628186
115000 1.06628 -0.963073 0.0571423
116000 1.07906 -0.933298 0.0582228
117000 1.10042 -0.864414 0.0671876
118000 1.08518 -0.810792 0.067272
119000 1.08495 -0.796476 0.0656485
120000 1.11386 -0.882194 0.0722436
121000 1.0748 -0.931224 0.0547354
122000 1.13846 -0.811328 0.0692812
123000 1.11761 -0.879955 0.0671023
124000 1.12277 -0.840163 0.0665532
125000 1.06961 -0.765097 0.0701487
126000 1.12075 -0.821839 0.0696858
127000 1.12471 -0.820413 0.0634623
128000 1.08838 -0.774298 0.0701192
129000 1.11161 -0.7985 0.0702737
130000 1.11427 -0.76932 0.0699294
131000 1.13149 -0.843568 0.0716823
132000 1.09311 -0.863392 0.0633538
133000 1.07954 -0.831264 0.0614651
134000 1.13671 -0.819781 0.0666717
135000 1.09542 -0.889849 0.0629185
136000 1.1244 -0.887323 0.0670944
137000 1.08029 -0.848201 0.0653406
138000 1.07307 -0.867884 0.062957
139000 1.11811 -0.887156 0.0691719
140000 1.11108 -0.793772 0.0647313
141000 1.1028 -0.811138 0.0683578
142000 1.05738 -0.798679 0.0685765
143000 1.12784 -0.769867 0.070207
144000 1.10837 -0.834567 0.0634271
145000 1.07846 -0.851081 0.0621543
146000 1.1121 -0.865447 0.0658167
147000 1.14229 -0.800849 0.0706934
148000 1.1144 -0.89962 0.0640934
149000 1.09002 -0.917565 0.0638879
150000 1.11675 -0.919068 0.0605206
151000 1.12034 -0.872618 0.0689616
152000 1.12712 -0.845043 0.0626123
153000 1.09838 -0.964466 0.0624097
154000 1.08058 -1.0948 0.0587946
155000 1.1009 -0.848313 0.0673565
156000 1.08434 -0.863196 0.0602154
157000 1.11459 -0.869258 0.0647911
158000 1.1513 -0.796542 0.074203
159000 1.0473 -0.977925 0.0589858
160000 1.11219 -0.844618 0.0692508
161000 1.10366 -0.852879 0.062288
162000 1.1136 -0.867489 0.070231
163000 1.07088 -0.827772 0.0606197
164000 1.10491 -1.06387 0.062278
165000 1.07586 -1.03006 0.0546682
166000 1.10087 -0.872408 0.0680761
