# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.29917 -0.0953971 0.0125911
2000 1.31297 -0.0799535 0.0125104
3000 1.3197 -0.0923746 0.0125259
4000 1.26577 -0.0764894 0.0119171
5000 1.32091 -0.0811154 0.0127237
6000 1.27767 -0.0731832 0.0121928
7000 1.3102 -0.0749083 0.0125994
8000 1.30261 -0.0846094 0.0124313
9000 1.3062 -0.0767305 0.0125677
10000 1.2871 -0.0750982 0.0124861
11000 1.28989 -0.0677058 0.0125028
12000 1.29957 -0.0676015 0.0125364
13000 1.33049 -0.0560115 0.0130397
14000 1.25233 -0.0666762 0.0119798
15000 1.31086 -0.0717413 0.0126098
16000 1.30314 -0.0689001 0.0124132
17000 1.30279 -0.0596187 0.0124503
18000 1.29073 -0.0655602 0.0124998
19000 1.33878 -0.0687391 0.0128914
20000 1.27955 -0.0743018 0.0124105
21000 1.28863 -0.0555664 0.0124633
22000 1.30542 -0.0664942 0.0125967
23000 1.32511 -0.0763059 0.0127302
24000 1.29086 -0.0582264 0.0125962
25000 1.29361 -0.0926505 0.0124123
26000 1.2848 -0.0850862 0.0124005
27000 1.29314 -0.0984732 0.01232
28000 1.29564 -0.0949082 0.0121347
29000 1.26724 -0.100738 0.0119896
30000 1.25505 -0.103494 0.0119396
31000 1.32413 -0.10681 0.012628
32000 1.31354 -0.103389 0.0126067
33000 1.2706 -0.107629 0.0118493
34000 1.3024 -0.0793059 0.0124479
35000 1.33447 -0.088053 0.0127504
36000 1.33476 -0.0835442 0.0127296
37000 1.29524 -0.076356 0.0122914
38000 1.34186 -0.0776283 0.0129672
39000 1.2787 -0.0714645 0.0124008
40000 1.28365 -0.0736124 0.0123774
41000 1.30311 -0.0756092 0.0124502
42000 1.29123 -0.066944 0.012475
43000 1.24768 -0.0820048 0.0119212
44000 1.25039 -0.0684121 0.0119329
45000 1.31631 -0.0742493 0.0126302
46000 1.30024 -0.057645 0.0125888
47000 1.30701 -0.0523437 0.0126092
48000 1.29172 -0.0660564 0.0123111
49000 1.30423 -0.0625514 0.0124504
50000 1.30317 -0.0569402 0.0126052
51000 1.33292 -0.061463 0.0128112
52000 1.28002 -0.0573546 0.0123786
53000 1.31648 -0.0644549 0.012664
54000 1.32148 -0.0801218 0.0126326
55000 1.27266 -0.0829262 0.0121835
56000 1.30311 -0.0838847 0.0123742
57000 1.30637 -0.0875884 0.0125636
58000 1.2935 -0.0766106 0.0123562
59000 1.30686 -0.0944102 0.0126098
60000 1.306 -0.0795403 0.0126083
61000 1.27336 -0.0787909 0.0119972
62000 1.32715 -0.0737985 0.0126578
63000 1.27107 -0.0679758 0.0122025
64000 1.28434 -0.0719563 0.0123342
65000 1.32928 -0.0980474 0.0127785
66000 1.35369 -0.0907247 0.0129993
67000 1.29506 -0.079136 0.0124011
68000 1.31683 -0.067275 0.0126837
69000 1.29194 -0.0747917 0.0123727
70000 1.26787 -0.0879268 0.0120931
71000 1.34867 -0.0993992 0.0128213
72000 1.25799 -0.0897568 0.011955
73000 1.3338 -0.0859808 0.0128097
74000 1.26043 -0.0752755 0.0119989
75000 1.34315 -0.080541 0.0128756
76000 1.24612 -0.0800477 0.0121375
77000 1.31217 -0.0771351 0.0123839
78000 1.27344 -0.0913211 0.0120368
79000 1.30273 -0.0936424 0.0123997
80000 1.34779 -0.0599037 0.0130411
81000 1.32828 -0.0635634 0.0129337
82000 1.2722 -0.0859661 0.012233
83000 1.2999 -0.0947136 0.0124727
84000 1.30921 -0.105332 0.0122961
85000 1.30426 -0.0906978 0.0123289
86000 1.31241 -0.0829339 0.0126813
87000 1.31826 -0.0873505 0.0125337
88000 1.30993 -0.0778479 0.0124937
89000 1.31182 -0.089379 0.0124406
90000 1.26411 -0.0766478 0.011995
91000 1.29513 -0.0809014 0.0123965
92000 1.30795 -0.0698222 0.0125479
93000 1.29733 -0.101959 0.0123732
94000 1.30234 -0.112078 0.0123231
95000 1.28948 -0.119714 0.0123265
96000 1.26241 -0.0897139 0.0119584
97000 1.28546 -0.093689 0.0121826
98000 1.31675 -0.0887173 0.0125828
99000 1.25585 -0.0918086 0.0119778
100000 1.29482 -0.0881163 0.0122276
101000 1.31265 -0.0831613 0.0126081
102000 1.2422 -0.0755841 0.0118451
103000 1.36108 -0.0759888 0.0130881
104000 1.27436 -0.0740872 0.0122137
105000 1.31526 -0.0935658 0.0124948
106000 1.31338 -0.107883 0.0124366
107000 1.24599 -0.100207 0.0118753
108000 1.33693 -0.0895086 0.0128076
109000 1.31192 -0.0836314 0.0125869
110000 1.28948 -0.0824703 0.0122432
111000 1.28913 -0.0740464 0.0122808
112000 1.35038 -0.0679139 0.0129622
113000 1.26992 -0.0774286 0.0121229
114000 1.29284 -0.0856869 0.0122313
115000 1.27661 -0.0752823 0.0124942
116000 1.34057 -0.0885758 0.0127461
117000 1.3045 -0.0859122 0.0123712
