# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.84948 -0.665483 0.155625
2000 1.84917 -0.691288 0.156202
3000 1.94279 -0.661747 0.174953
4000 1.87062 -0.654465 0.161232
5000 1.84844 -0.698014 0.161361
6000 1.93474 -0.67353 0.16691
7000 1.90435 -0.64218 0.163287
8000 1.86801 -0.664913 0.165262
9000 1.96576 -0.655186 0.175128
10000 1.91926 -0.672135 0.174776
11000 1.82813 -0.725669 0.154525
12000 1.96065 -0.678909 0.167343
13000 1.90567 -0.719236 0.167414
14000 1.83862 -0.665263 0.155147
15000 1.96826 -0.625289 0.170322
16000 1.81782 -0.653186 0.157267
17000 1.90303 -0.666151 0.156783
18000 1.86022 -0.657783 0.159693
19000 1.88426 -0.649897 0.163776
20000 1.89615 -0.654085 0.158745
21000 1.92903 -0.701232 0.160299
22000 1.90653 -0.660632 0.159086
23000 1.93404 -0.695873 0.166332
24000 1.85641 -0.702322 0.163786
25000 1.95115 -0.646107 0.172756
26000 1.83878 -0.634984 0.166252
27000 1.92986 -0.647089 0.172323
28000 1.92229 -0.644901 0.161983
29000 1.84316 -0.688517 0.153761
30000 1.91909 -0.675999 0.162208
31000 1.89208 -0.650558 0.157868
32000 1.82995 -0.719686 0.15571
33000 1.84439 -0.675149 0.158843
34000 1.90937 -0.702166 0.162297
35000 1.98625 -0.729362 0.172128
36000 1.87659 -0.700517 0.159963
37000 1.82954 -0.716941 0.151191
38000 1.87965 -0.633489 0.166533
39000 1.96076 -0.680552 0.170855
40000 1.90829 -0.689594 0.163941
41000 1.83715 -0.654284 0.166081
42000 1.94383 -0.667438 0.168277
43000 1.94524 -0.691858 0.1727
44000 1.83666 -0.607749 0.160634
45000 1.90829 -0.639139 0.168053
46000 1.957 -0.682041 0.169901
47000 1.84786 -0.649506 0.154737
48000 1.93061 -0.664487 0.160901
49000 1.87119 -0.737962 0.153854
50000 1.88694 -0.703483 0.157651
51000 1.94169 -0.653682 0.172197
52000 1.87524 -0.662068 0.164582
53000 1.9414 -0.658918 0.173971
54000 1.93195 -0.665116 0.16803
55000 1.89484 -0.616544 0.165346
56000 1.89696 -0.724321 0.160327
57000 1.90666 -0.630112 0.167051
58000 1.92572 -0.676589 0.165637
59000 1.9084 -0.651735 0.16816
