# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 2.82303 -0.00439616 0.0027942
2000 3.02992 -0.00863656 0.00299457
3000 2.95185 -0.00686834 0.00291869
4000 2.9919 -0.00564383 0.00295571
5000 3.04156 -0.00350778 0.00300934
6000 3.10325 -0.0074093 0.00307212
7000 3.04584 -0.00636702 0.0030164
8000 2.89984 -0.0069562 0.00286534
9000 2.99793 -0.00615584 0.00296872
10000 3.0939 -0.00269942 0.00306711
11000 2.8941 -0.00569997 0.00286916
12000 3.01182 -0.00361016 0.00298232
13000 3.03545 -0.00632021 0.00300938
14000 2.95087 -0.00541673 0.00291493
15000 3.02272 -0.00445607 0.00298761
16000 3.09774 -0.00544358 0.00305965
17000 2.99581 -0.00259246 0.00297308
18000 3.05714 -0.00476914 0.0030261
19000 3.05556 -0.00595518 0.0030252
20000 2.88041 -0.0059994 0.00285836
21000 3.04561 -0.00701749 0.00301103
22000 3.05393 -0.00746619 0.00301768
23000 2.8914 -0.00288668 0.0028604
24000 3.02842 -0.00508074 0.00300474
25000 3.14245 -0.0105999 0.00311195
26000 2.9938 -0.00765311 0.00296341
27000 2.86889 -0.00162572 0.00283889
28000 3.03017 -0.00472105 0.0030077
29000 3.08992 -0.00661272 0.00305371
30000 2.91392 -0.00595767 0.00288522
31000 3.03304 -0.00589115 0.00300209
32000 2.98073 -0.00415579 0.00294881
33000 3.07563 -0.00554494 0.00304278
34000 2.96971 -0.00650338 0.00293798
35000 2.98544 -0.00627884 0.00295982
36000 3.03234 -0.00760749 0.00300408
37000 2.97358 -0.00444984 0.00294044
38000 3.0652 -0.00293998 0.00303262
39000 2.94646 -0.00629212 0.00292014
40000 2.89851 -0.00626151 0.00287453
41000 3.0202 -0.00455295 0.00299611
42000 3.09627 -0.00872266 0.00306353
43000 2.98168 -0.00502278 0.00296064
44000 3.04247 -0.00632391 0.00300822
45000 2.90756 -0.00142612 0.00289553
46000 3.02613 -0.00699476 0.00299345
47000 3.05407 -0.00480501 0.00302165
48000 2.94932 -0.00564536 0.00291898
49000 3.07184 -0.00470464 0.00304003
50000 2.92206 -0.00179689 0.00290572
51000 2.92959 -0.00527184 0.00290478
52000 3.04872 -0.00459769 0.00301569
53000 2.97054 -0.00877116 0.0029437
54000 2.96583 -0.00722241 0.00293824
55000 3.03767 -0.00406339 0.00301122
56000 2.99367 -0.00593562 0.00296445
57000 2.98826 -0.00401219 0.00296283
58000 3.00987 -0.00252809 0.00298788
59000 2.98655 -0.00371778 0.00295665
60000 2.94753 0.00256913 0.00294997
61000 3.10625 -0.00701594 0.00306936
62000 3.0114 -0.00492606 0.00297798
63000 3.02513 -0.00746448 0.00299193
64000 2.9746 -0.00384735 0.00294529
65000 3.03915 -0.00669079 0.00301032
66000 2.9692 -0.00403579 0.00293838
67000 2.98296 -0.00454662 0.00295137
68000 3.06283 -0.00388816 0.00302853
69000 2.94133 -0.0049892 0.00291879
70000 3.02473 -0.00528077 0.00299939
71000 2.95956 -0.00446126 0.00292774
72000 3.01363 -0.0102421 0.0029808
73000 3.01008 -0.00416237 0.0029767
74000 2.98213 -0.00186756 0.0029521
75000 3.05452 -0.00389544 0.00302723
76000 2.92578 -0.00411935 0.00289459
77000 2.98779 -0.00725498 0.00295228
78000 3.09089 -0.00326245 0.00306513
79000 2.93085 -0.00404287 0.00290157
80000 3.01641 -0.00646382 0.00298783
81000 3.03431 -0.00535406 0.00299981
82000 2.96544 -0.00381441 0.00294349
83000 3.03525 -0.00476563 0.00300694
84000 2.96532 -0.00543622 0.00293835
85000 3.03472 -0.00365194 0.00300395
86000 2.94313 -0.00545234 0.00291523
87000 3.02923 -0.00786443 0.00299438
88000 3.0621 -0.00280865 0.00303572
89000 2.88875 -0.00368739 0.00285549
90000 3.08266 -0.00743587 0.00305642
91000 2.89391 -0.0035605 0.00286179
92000 3.04578 -0.00441178 0.00301824
93000 2.96582 -0.0073543 0.00293688
94000 3.07292 -0.00474215 0.00304407
95000 2.89629 -0.00498814 0.00286795
96000 3.07218 -0.00522457 0.00304431
97000 3.06352 -0.00718671 0.00302905
98000 3.03947 -0.00954027 0.00300368
99000 2.98834 -0.00892777 0.00295705
100000 2.95357 -0.00414395 0.00292259
101000 2.96853 -0.00336125 0.00294419
102000 3.01184 -0.00437052 0.00298015
103000 3.02097 -0.00658864 0.00298541
104000 2.95046 -0.0137523 0.00290946
105000 2.96985 -0.00352223 0.00294172
106000 3.02844 -0.00544127 0.00299404
107000 3.03699 -0.00243759 0.00300744
108000 2.91948 -0.00526448 0.00289018
109000 2.91077 -0.0048761 0.00287959
110000 3.0754 -0.00494221 0.00304212
111000 3.00274 -0.00373294 0.0029763
112000 2.95658 -0.0070337 0.00292923
113000 3.08058 -0.00547373 0.00304351
114000 2.87857 -0.00546215 0.00284516
115000 3.04549 -0.00679939 0.00301127
116000 3.00376 -0.00338639 0.00297271
117000 2.96941 -0.00425264 0.00293591
118000 3.04707 -0.00254644 0.00301432
119000 2.97281 -0.00728812 0.002949
120000 3.00888 -0.00285416 0.00297758
121000 3.03357 -0.00595209 0.00300375
122000 2.86945 -0.00924324 0.00283769
123000 3.03173 -0.00639072 0.00299784
124000 3.0193 -0.0109939 0.00298202
125000 2.99309 -0.00310642 0.00295995
126000 2.9811 -0.00197939 0.00295718
127000 2.98436 -0.00532396 0.00295659
128000 2.94045 -0.00655429 0.00290861
129000 3.09941 -0.00531668 0.00307012
130000 3.07383 -0.00564599 0.00304044
131000 2.91558 -0.00118504 0.00289655
132000 3.05106 -0.00536069 0.00302135
133000 2.89811 -0.00946191 0.00286226
134000 3.06342 -0.00576791 0.00303382
135000 3.01754 -0.00531054 0.00298305
136000 2.93367 -0.00390721 0.00290325
137000 3.0372 -0.00672261 0.00300643
138000 3.03692 -0.00379026 0.00300901
139000 3.01095 -0.00661257 0.00297868
140000 3.08812 -0.00892162 0.00304909
141000 2.9071 -0.00601924 0.00287374
142000 3.02607 -0.0052013 0.00299995
143000 3.05617 -0.00577965 0.0030234
144000 2.88771 -0.00456638 0.00285897
145000 3.04934 -0.00429567 0.00301412
146000 3.09416 -0.00404856 0.00305934
147000 2.94703 -0.00299139 0.00291585
148000 2.97897 -0.00576195 0.00295007
149000 3.04148 -0.00360651 0.00301545
150000 2.94826 -0.00430122 0.00291192
151000 2.96854 -0.00619801 0.00293452
152000 2.98735 -0.0032832 0.00295189
153000 3.00442 -0.0036194 0.00297526
154000 2.87999 -0.00582878 0.00284593
155000 3.05016 -0.0015513 0.00302734
156000 2.96573 -0.00233692 0.00293948
157000 3.14853 -0.00222107 0.00311351
158000 3.00229 -0.00512672 0.00297153
159000 2.87137 -0.0047505 0.00285235
160000 3.00332 -0.00480156 0.0029682
161000 3.05088 -0.00299931 0.00301839
162000 3.04873 -0.00279162 0.00301632
163000 2.9873 -0.00484874 0.00295603
164000 3.02203 -0.00643973 0.00298722
165000 2.95203 -0.00858405 0.00291341
166000 3.09182 -0.00449445 0.00305635
167000 2.91115 -0.0039805 0.00287701
168000 3.1241 -0.00450801 0.00309466
169000 2.93847 -0.00396234 0.00290466
170000 3.01427 -0.00594888 0.00298046
171000 2.94659 -0.00482577 0.0029139
172000 3.02797 -0.00221793 0.00299519
173000 2.97642 -0.00222748 0.00294794
174000 2.92971 -0.00337807 0.00290179
175000 2.96956 -0.00362147 0.00293977
176000 3.05914 -0.00411988 0.00302679
177000 2.9719 -0.0047007 0.00294909
178000 2.91581 -0.00433891 0.00288641
179000 3.04223 -0.0090082 0.00301261
180000 3.08504 -0.00782244 0.00305511
181000 2.93307 -0.00516576 0.00289682
182000 2.98569 -0.00743002 0.00294805
183000 3.06977 -0.00405117 0.00303323
184000 2.96056 -0.00318158 0.00294169
185000 2.96091 -0.00455253 0.00292492
186000 3.02461 -0.00487602 0.00299933
187000 3.01728 -0.00597037 0.00298164
188000 3.01815 -0.00609928 0.00298547
189000 3.03568 -0.00461649 0.00300812
190000 2.89274 -0.00575383 0.00286841
191000 2.96306 -0.00518298 0.00292703
192000 2.98297 -0.00164704 0.00295455
193000 2.99342 -0.00431474 0.00296951
194000 3.11636 -0.00363974 0.00308526
195000 2.98184 -0.00425092 0.00295264
196000 3.00701 -0.00433805 0.00298099
197000 2.87059 -0.00210113 0.00285635
198000 2.98143 -0.0071647 0.00294916
199000 3.04592 -0.00708621 0.00301678
200000 2.96498 -0.00234481 0.00293338
201000 3.0169 -0.004193 0.00299144
