# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 0.800442 -0.0893485 0.00741113
2000 0.772736 -0.100256 0.00715774
3000 0.738637 -0.099932 0.00674005
4000 0.764967 -0.108299 0.00692463
5000 0.739762 -0.1028 0.00677108
6000 0.740612 -0.0960027 0.00688472
7000 0.762178 -0.0954013 0.0070858
8000 0.744436 -0.0978706 0.0068671
9000 0.745252 -0.102063 0.00689815
10000 0.761796 -0.0897886 0.00708148
11000 0.773227 -0.0891241 0.00712736
12000 0.739619 -0.111273 0.00674608
13000 0.74432 -0.123962 0.00663139
14000 0.719136 -0.127801 0.00634829
15000 0.752843 -0.121562 0.00671924
16000 0.728886 -0.133485 0.00643773
17000 0.76581 -0.12671 0.00674049
18000 0.767535 -0.136692 0.006889
19000 0.74584 -0.145912 0.00684061
20000 0.752191 -0.149757 0.00690705
21000 0.751587 -0.142171 0.00679476
22000 0.778311 -0.127085 0.00708986
23000 0.733187 -0.114151 0.00682648
24000 0.764575 -0.10382 0.00714907
25000 0.73661 -0.0929109 0.00676836
26000 0.751709 -0.102543 0.00697485
27000 0.74773 -0.110251 0.00668169
28000 0.755518 -0.111443 0.00700768
29000 0.737736 -0.0939681 0.00670796
30000 0.757923 -0.124324 0.00693848
31000 0.730339 -0.134712 0.00651266
32000 0.746341 -0.105093 0.00672008
33000 0.760839 -0.101062 0.00681247
34000 0.74528 -0.137944 0.00653458
35000 0.752355 -0.103174 0.00692211
36000 0.764004 -0.0947866 0.00694667
37000 0.746913 -0.112115 0.00664213
38000 0.733548 -0.100942 0.00675245
39000 0.776009 -0.102244 0.0071764
40000 0.736471 -0.109563 0.00663699
41000 0.731173 -0.117556 0.00666741
42000 0.742717 -0.104735 0.00684372
43000 0.758376 -0.111953 0.00680023
44000 0.768686 -0.116935 0.00713305
45000 0.740376 -0.133389 0.00674023
46000 0.764749 -0.137644 0.00696075
47000 0.763573 -0.136769 0.00710103
48000 0.74778 -0.132228 0.00676629
49000 0.733421 -0.119951 0.00669963
50000 0.750928 -0.126598 0.00682136
51000 0.749406 -0.133031 0.00680943
52000 0.746108 -0.140507 0.00669789
