# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.2377 -0.754319 0.0884205
2000 1.21055 -0.782785 0.0850087
3000 1.16431 -0.777919 0.0786891
4000 1.21535 -0.811494 0.0830792
5000 1.15798 -0.743945 0.079963
6000 1.17642 -0.772258 0.0810735
7000 1.21998 -0.774338 0.0883669
8000 1.16363 -0.755194 0.0828097
9000 1.19302 -0.758439 0.0844524
10000 1.16896 -0.802329 0.0715823
11000 1.17591 -0.792575 0.0807841
12000 1.212 -0.802042 0.084089
13000 1.1558 -0.705639 0.0750484
14000 1.19972 -0.76797 0.0797168
15000 1.23061 -0.726794 0.0876098
16000 1.18057 -0.726449 0.0798833
17000 1.21483 -0.792673 0.0831241
18000 1.25293 -0.81441 0.0856405
19000 1.20712 -0.812042 0.0816689
20000 1.23118 -0.726757 0.0864935
21000 1.16645 -0.794195 0.0739169
22000 1.20204 -0.803371 0.0830455
23000 1.24452 -0.865666 0.0863737
24000 1.20659 -0.845474 0.0831963
25000 1.1762 -0.761875 0.0804648
26000 1.23462 -0.809425 0.0812353
27000 1.21297 -0.830991 0.0795444
28000 1.18349 -0.808618 0.0808998
29000 1.22466 -0.84143 0.0836661
30000 1.19337 -0.839842 0.0802361
31000 1.22943 -0.877964 0.0827647
32000 1.20459 -0.849156 0.0787697
33000 1.17286 -0.821595 0.0727222
34000 1.19555 -0.795191 0.0835982
35000 1.20483 -0.741717 0.0848187
36000 1.2095 -0.73985 0.0820647
37000 1.14489 -0.765402 0.0722414
38000 1.1502 -0.796133 0.0732626
39000 1.19973 -0.777101 0.0807596
40000 1.23655 -0.82961 0.0853209
41000 1.18651 -0.827286 0.0711331
42000 1.20667 -0.813292 0.0789029
43000 1.16808 -0.818975 0.0779784
44000 1.22234 -0.790083 0.0876181
45000 1.23429 -0.756436 0.0803455
46000 1.19686 -0.777363 0.0792101
47000 1.19574 -0.706361 0.0829747
48000 1.20814 -0.756501 0.0810408
49000 1.17534 -0.791692 0.0756675
50000 1.21741 -0.740661 0.0825437
51000 1.20443 -0.753352 0.0787933
52000 1.19977 -0.789167 0.0832768
53000 1.22186 -0.686194 0.0851124
54000 1.19184 -0.813911 0.0794411
55000 1.2274 -0.834288 0.0848766
56000 1.22536 -0.839635 0.0849357
57000 1.2117 -0.879106 0.0844443
58000 1.21228 -0.758456 0.0851693
59000 1.18602 -0.740212 0.0835756
60000 1.23827 -0.874557 0.0892073
61000 1.18092 -0.83774 0.0817012
62000 1.17861 -0.84384 0.0760371
63000 1.15714 -0.841508 0.0750073
64000 1.22133 -0.74945 0.0863018
65000 1.23084 -0.756247 0.0910604
66000 1.18286 -0.78234 0.078799
67000 1.19063 -0.805684 0.0804538
68000 1.16947 -0.836786 0.0691001
69000 1.2496 -0.896277 0.0854432
70000 1.21467 -0.876615 0.0775224
71000 1.18974 -0.822617 0.0810093
72000 1.2309 -0.790102 0.0810712
73000 1.19839 -0.749883 0.0860348
74000 1.17174 -0.748611 0.0805564
75000 1.17622 -0.814509 0.077412
76000 1.21546 -0.908373 0.0786339
77000 1.22158 -0.819839 0.0814955
78000 1.21074 -0.842484 0.0787447
79000 1.2051 -0.86575 0.0771523
80000 1.18481 -0.862552 0.0735083
81000 1.2236 -0.897248 0.0867494
82000 1.20711 -0.893569 0.0754726
83000 1.20777 -1.03619 0.0699719
84000 1.218 -0.974003 0.0750213
85000 1.22709 -0.87098 0.0834246
86000 1.20667 -0.800515 0.0770221
87000 1.23252 -0.764388 0.0841544
88000 1.16583 -0.884297 0.0714944
89000 1.23304 -0.832529 0.0811961
90000 1.22852 -0.768858 0.0868534
91000 1.17124 -0.794834 0.0799584
92000 1.17564 -0.825335 0.076206
93000 1.17778 -0.851637 0.0804124
94000 1.22632 -0.762072 0.0811851
95000 1.20115 -0.813575 0.0820488
96000 1.24036 -0.764456 0.0812097
97000 1.21284 -0.76422 0.0753023
98000 1.1894 -0.798886 0.0795058
